Word;Count;Probability;Huffman Code;Max Length Code
seeing;170;0.02995%;110111000000;
spoke;168;0.02960%;110111000000;
cannot;168;0.02960%;110110000000;
thousand;168;0.02960%;110110000000;
happened;168;0.02960%;110111000000;
friend;167;0.02942%;110110000000;
pierres;167;0.02942%;110110000000;
dinner;167;0.02942%;110110000000;
russia;166;0.02925%;110100000000;
work;166;0.02925%;110100000000;
tears;166;0.02925%;110110000000;
ready;165;0.02907%;110100000000;
conversation;165;0.02907%;110100000000;
trying;164;0.02890%;110100000000;
silent;164;0.02890%;110100000000;
set;163;0.02872%;110100000000;
coming;163;0.02872%;110100000000;
better;162;0.02854%;110011000000;
find;162;0.02854%;110011000000;
world;162;0.02854%;110011000000;
gone;162;0.02854%;110011000000;
bolknski;161;0.02837%;110011000000;
full;160;0.02819%;110010000000;
sound;160;0.02819%;110010000000;
itself;160;0.02819%;110010000000;
faces;159;0.02801%;110010000000;
strange;159;0.02801%;110001000000;
else;158;0.02784%;110001000000;
adjutant;158;0.02784%;110001000000;
honor;157;0.02766%;110001000000;
terrible;157;0.02766%;110001000000;
met;157;0.02766%;110001000000;
standing;157;0.02766%;110001000000;
history;157;0.02766%;110001000000;
almost;156;0.02749%;110001000000;
speaking;156;0.02749%;110001000000;
free;156;0.02749%;101111000000;
times;153;0.02696%;101110000000;
answered;153;0.02696%;101111000000;
hair;153;0.02696%;101110000000;
glanced;153;0.02696%;101110000000;
fact;153;0.02696%;101110000000;
soul;152;0.02678%;101110000000;
smiled;150;0.02643%;101110000000;
kept;149;0.02625%;101101000000;
wont;149;0.02625%;101101000000;
myself;148;0.02608%;101101000000;
afraid;148;0.02608%;101101000000;
cause;148;0.02608%;101101000000;
tone;147;0.02590%;101101000000;
reply;147;0.02590%;101101000000;
russians;147;0.02590%;101101000000;
returned;146;0.02572%;101011000000;
reached;146;0.02572%;101010000000;
above;146;0.02572%;101011000000;
smiling;145;0.02555%;101010000000;
village;145;0.02555%;101010000000;
repeated;145;0.02555%;101010000000;
different;145;0.02555%;101010000000;
help;144;0.02537%;101010000000;
state;144;0.02537%;101010000000;
answer;143;0.02520%;101001000000;
less;143;0.02520%;101001000000;
women;143;0.02520%;101001000000;
light;143;0.02520%;101001000000;
field;143;0.02520%;101001000000;
mademoiselle;142;0.02502%;101001000000;
kind;142;0.02502%;101001000000;
voices;142;0.02502%;101001000000;
held;142;0.02502%;101001000000;
together;142;0.02502%;101001000000;
de;141;0.02484%;100111000000;
doing;141;0.02484%;100111000000;
hear;141;0.02484%;100111000000;
often;140;0.02467%;100111000000;
especially;140;0.02467%;100111000000;
lost;140;0.02467%;100111000000;
certain;139;0.02449%;100111000000;
family;138;0.02431%;100111000000;
hlne;138;0.02431%;100111000000;
quickly;138;0.02431%;100111000000;
please;138;0.02431%;100111000000;
emperors;138;0.02431%;100111000000;
cold;137;0.02414%;100110000000;
necessary;137;0.02414%;100110000000;
steps;137;0.02414%;100111000000;
husband;137;0.02414%;100110000000;
force;136;0.02396%;100110000000;
followed;136;0.02396%;100110000000;
listened;136;0.02396%;100110000000;
half;136;0.02396%;100110000000;
staff;136;0.02396%;100110000000;
used;135;0.02379%;100101000000;
sides;135;0.02379%;100101000000;
air;135;0.02379%;100101000000;
bagratin;135;0.02379%;100101000000;
society;134;0.02361%;100101000000;
alptych;134;0.02361%;100101000000;
sometimes;133;0.02343%;100100000000;
feel;133;0.02343%;100100000000;
later;133;0.02343%;100100000000;
bridge;133;0.02343%;100100000000;
read;133;0.02343%;100100000000;
ever;132;0.02326%;100100000000;
merely;131;0.02308%;11100111011;
service;130;0.02290%;11100110010;
immediately;130;0.02290%;11100111001;
important;130;0.02290%;11100110001;
command;130;0.02290%;11100110011;
girl;129;0.02273%;11100010111;
brother;129;0.02273%;11100110000;
killed;129;0.02273%;11100011011;
third;129;0.02273%;11100011010;
glad;129;0.02273%;11100011000;
happiness;129;0.02273%;11100011001;
either;128;0.02255%;11011100010;
boy;128;0.02255%;11011100101;
money;128;0.02255%;11010111010;
known;127;0.02238%;11000111110;
remember;127;0.02238%;11000111111;
best;126;0.02220%;11000111000;
reason;126;0.02220%;11000111010;
contrary;125;0.02202%;10110110101;
years;125;0.02202%;10110110100;
fell;125;0.02202%;11000110000;
someone;125;0.02202%;10110110011;
believe;124;0.02185%;10110100011;
pleasure;124;0.02185%;10110010011;
present;124;0.02185%;10110011111;
course;124;0.02185%;10110010101;
doctor;124;0.02185%;10110100000;
grew;124;0.02185%;10110100110;
excellency;124;0.02185%;10110010110;
smoke;124;0.02185%;10110011000;
appeared;123;0.02167%;10100110111;
bad;123;0.02167%;10100110110;
become;122;0.02150%;10100101101;
fine;122;0.02150%;10100110100;
hundred;122;0.02150%;10100101111;
peasants;122;0.02150%;10100100111;
daughter;121;0.02132%;10100001110;
presence;121;0.02132%;10100001101;
events;121;0.02132%;10100001100;
TRUE;120;0.02114%;10011101101;
says;120;0.02114%;10011110111;
usual;120;0.02114%;10011110000;
thinking;120;0.02114%;10011100100;
holding;120;0.02114%;10011001100;
former;120;0.02114%;10011111010;
mikhylovna;120;0.02114%;10011010101;
clear;120;0.02114%;10011110110;
town;120;0.02114%;10011101001;
affairs;120;0.02114%;10011011101;
black;120;0.02114%;10011111000;
loved;120;0.02114%;10011100010;
historians;120;0.02114%;10011101011;
kissed;119;0.02097%;10011000000;
name;119;0.02097%;10011000010;
moving;119;0.02097%;10011000100;
generals;119;0.02097%;10011000011;
alexander;119;0.02097%;10011000001;
prisoners;119;0.02097%;10010110010;
strength;119;0.02097%;10010110011;
second;118;0.02079%;10010010101;
high;118;0.02079%;10010010110;
thoughts;118;0.02079%;10010010011;
coat;118;0.02079%;10010010100;
attention;118;0.02079%;10010011011;
bed;118;0.02079%;10010010111;
line;118;0.02079%;10010011000;
yourself;117;0.02061%;1111111101;
frightened;117;0.02061%;10010000001;
expressed;117;0.02061%;10010000100;
perhaps;117;0.02061%;10010000000;
ones;117;0.02061%;10010000111;
waiting;117;0.02061%;1111111100;
carriage;117;0.02061%;10010000101;
military;116;0.02044%;1111011010;
opened;116;0.02044%;1111010100;
across;116;0.02044%;1111010000;
bourienne;116;0.02044%;1111011111;
peace;115;0.02026%;1101101110;
short;115;0.02026%;1101110001;
everybody;115;0.02026%;1101101111;
natshas;115;0.02026%;1101101101;
mrya;114;0.02009%;1101101000;
lips;114;0.02009%;1100110010;
ball;114;0.02009%;1101101100;
whose;114;0.02009%;1100110111;
freedom;114;0.02009%;1100110100;
pvlovna;113;0.01991%;1100011011;
study;113;0.01991%;1100011010;
drew;112;0.01973%;1011100011;
fear;112;0.01973%;1011000111;
feet;112;0.01973%;1011010111;
besides;112;0.01973%;1011110011;
window;112;0.01973%;1011100000;
pale;112;0.01973%;1011011000;
human;112;0.01973%;1011000000;
show;111;0.01956%;1010100100;
ordered;111;0.01956%;1010100101;
led;111;0.01956%;1010101000;
showed;110;0.01938%;1001111000;
hussars;110;0.01938%;1001111100;
angry;109;0.01920%;1001100100;
hes;109;0.01920%;1001100101;
red;109;0.01920%;1001100111;
activity;109;0.01920%;1001100110;
rest;108;0.01903%;1001100000;
handsome;108;0.01903%;1001001101;
need;108;0.01903%;1001011101;
making;108;0.01903%;1001000110;
borodin;108;0.01903%;1001011111;
meet;107;0.01885%;111111101;
company;107;0.01885%;1000100111;
shoulders;107;0.01885%;1000110010;
able;107;0.01885%;1000110001;
giving;107;0.01885%;1000110011;
ground;107;0.01885%;1000110000;
attack;106;0.01868%;111010101;
children;106;0.01868%;111101010;
raised;106;0.01868%;111110001;
asking;106;0.01868%;111101110;
im;106;0.01868%;111111000;
beyond;106;0.01868%;111111010;
late;105;0.01850%;110010101;
close;105;0.01850%;111010100;
mans;105;0.01850%;111001001;
silence;105;0.01850%;111001000;
running;105;0.01850%;111001010;
campaign;105;0.01850%;111001011;
four;104;0.01832%;101110100;
colonel;104;0.01832%;101011000;
turn;104;0.01832%;110000010;
considered;103;0.01815%;100110100;
country;103;0.01815%;100110000;
straight;103;0.01815%;100110001;
shouting;103;0.01815%;100110011;
mamma;103;0.01815%;100110010;
rostopchn;103;0.01815%;100110101;
dress;102;0.01797%;11111111;
remembered;102;0.01797%;100001100;
guns;102;0.01797%;100000001;
smolnsk;102;0.01797%;100001011;
decided;101;0.01780%;11101101;
child;101;0.01780%;11101010;
fathers;101;0.01780%;11101011;
legs;101;0.01780%;11101111;
however;101;0.01780%;11010111;
tomorrow;101;0.01780%;11110110;
aim;101;0.01780%;11101110;
project;100;0.01762%;11010010;
return;100;0.01762%;10111100;
thin;100;0.01762%;10011110;
wait;100;0.01762%;11010000;
body;100;0.01762%;10100110;
run;100;0.01762%;10100101;
napoleons;100;0.01762%;10111101;
business;100;0.01762%;11010110;
ought;100;0.01762%;10110010;
captain;100;0.01762%;10100010;
galloped;100;0.01762%;10111011;
questions;99;0.01744%;10010001;
ten;98;0.01727%;1111101;
flank;98;0.01727%;1111110;
neither;97;0.01709%;1010001;
unable;97;0.01709%;1011010;
case;97;0.01709%;1010110;
upon;97;0.01709%;1011011;
open;97;0.01709%;1011101;
carried;97;0.01709%;1011100;
laws;97;0.01709%;1010111;
uniform;96;0.01691%;1111;
changed;96;0.01691%;1111110000000;
andrews;96;0.01691%;101001;
talked;95;0.01674%;1111110000000;
meaning;95;0.01674%;1111100000000;
frenchman;95;0.01674%;1111110000000;
laughing;95;0.01674%;1111110000000;
interrupted;95;0.01674%;1111110000000;
fresh;95;0.01674%;1111110000000;
cry;95;0.01674%;1111110000000;
rapidly;95;0.01674%;1111100000000;
struck;95;0.01674%;1111100000000;
balashv;95;0.01674%;1111100000000;
wrote;94;0.01656%;1111100000000;
guards;94;0.01656%;1111100000000;
meeting;94;0.01656%;1111100000000;
german;94;0.01656%;1111100000000;
opinion;93;0.01639%;1111100000000;
live;93;0.01639%;1111100000000;
arrived;93;0.01639%;1111100000000;
clearly;92;0.01621%;1111010000000;
dark;92;0.01621%;1111100000000;
remarked;92;0.01621%;1111010000000;
call;91;0.01603%;1111010000000;
hope;91;0.01603%;1111010000000;
closed;91;0.01603%;1111010000000;
duty;91;0.01603%;1111010000000;
corner;91;0.01603%;1111010000000;
occupied;91;0.01603%;1111010000000;
berg;91;0.01603%;1111010000000;
sight;90;0.01586%;1111010000000;
plan;90;0.01586%;1111010000000;
ladies;90;0.01586%;1111010000000;
expected;90;0.01586%;1111010000000;
dmtrievna;90;0.01586%;1111010000000;
master;90;0.01586%;1111000000000;
event;90;0.01586%;1111010000000;
listen;89;0.01568%;1110110000000;
hardly;89;0.01568%;1110110000000;
beginning;89;0.01568%;1110110000000;
rather;88;0.01550%;1110110000000;
gazed;88;0.01550%;1110110000000;
particularly;88;0.01550%;1110100000000;
experienced;88;0.01550%;1110100000000;
living;88;0.01550%;1110110000000;
spent;88;0.01550%;1110110000000;
foot;88;0.01550%;1110100000000;
today;87;0.01533%;1110100000000;
pleased;87;0.01533%;1110100000000;
subject;87;0.01533%;1110100000000;
forces;87;0.01533%;1110100000000;
porch;87;0.01533%;1110100000000;
uncle;87;0.01533%;1110100000000;
farther;87;0.01533%;1110100000000;
book;86;0.01515%;1101110000000;
friends;86;0.01515%;1110100000000;
calm;86;0.01515%;1110100000000;
pleasant;86;0.01515%;1101110000000;
knowing;86;0.01515%;1110100000000;
knows;86;0.01515%;1101110000000;
sounds;86;0.01515%;1110100000000;
eh;86;0.01515%;1101110000000;
within;86;0.01515%;1110100000000;
truth;86;0.01515%;1110100000000;
water;86;0.01515%;1110100000000;
cannon;86;0.01515%;1110100000000;
cossacks;86;0.01515%;1110100000000;
five;85;0.01498%;1101110000000;
least;85;0.01498%;1101110000000;
year;85;0.01498%;1101110000000;
listening;85;0.01498%;1101110000000;
seems;85;0.01498%;1101110000000;
reading;85;0.01498%;1101110000000;
surprise;85;0.01498%;1101110000000;
view;85;0.01498%;1101110000000;
firing;85;0.01498%;1101110000000;
retreat;85;0.01498%;1101110000000;
despite;84;0.01480%;1101100000000;
pass;84;0.01480%;1101110000000;
passing;84;0.01480%;1101110000000;
sake;84;0.01480%;1101110000000;
exclaimed;84;0.01480%;1101100000000;
move;84;0.01480%;1101110000000;
victory;84;0.01480%;1101110000000;
use;83;0.01462%;1101000000000;
instead;83;0.01462%;1101000000000;
lady;83;0.01462%;1101100000000;
cap;83;0.01462%;1101000000000;
happen;83;0.01462%;1101000000000;
bring;83;0.01462%;1101000000000;
keep;83;0.01462%;1101100000000;
difficult;83;0.01462%;1101100000000;
probably;83;0.01462%;1101100000000;
change;83;0.01462%;1101100000000;
seem;83;0.01462%;1101000000000;
marry;83;0.01462%;1101000000000;
hills;83;0.01462%;1101100000000;
various;83;0.01462%;1101100000000;
beautiful;82;0.01445%;1101000000000;
point;82;0.01445%;1101000000000;
leaving;82;0.01445%;1101000000000;
nonsense;82;0.01445%;1101000000000;
lying;82;0.01445%;1101000000000;
infantry;82;0.01445%;1101000000000;
meant;82;0.01445%;1101000000000;
fixed;82;0.01445%;1101000000000;
hard;82;0.01445%;1101000000000;
hill;82;0.01445%;1101000000000;
finished;81;0.01427%;1100110000000;
seized;81;0.01427%;1100110000000;
joy;81;0.01427%;1100110000000;
pressed;81;0.01427%;1100110000000;
begun;81;0.01427%;1100110000000;
carts;81;0.01427%;1100110000000;
quiet;80;0.01410%;1100110000000;
sad;80;0.01410%;1100100000000;
kutzovs;80;0.01410%;1100100000000;
whispered;80;0.01410%;1100100000000;
step;80;0.01410%;1100100000000;
hussar;80;0.01410%;1100100000000;
march;80;0.01410%;1100100000000;
bald;79;0.01392%;1100010000000;
bonaparte;79;0.01392%;1100010000000;
prepared;79;0.01392%;1100010000000;
continually;79;0.01392%;1100010000000;
number;79;0.01392%;1100010000000;
cossack;79;0.01392%;1100010000000;
asleep;79;0.01392%;1100010000000;
tkhon;79;0.01392%;1100010000000;
laughed;78;0.01374%;1100010000000;
middle;78;0.01374%;1100010000000;
theres;78;0.01374%;1100010000000;
effort;78;0.01374%;1100010000000;
sleep;78;0.01374%;1100010000000;
street;78;0.01374%;1100010000000;
distance;78;0.01374%;1100010000000;
ranks;78;0.01374%;1100010000000;
rushed;78;0.01374%;1100010000000;
angrily;78;0.01374%;1100010000000;
single;78;0.01374%;1100010000000;
pointing;78;0.01374%;1100010000000;
drove;78;0.01374%;1100010000000;
mouth;77;0.01357%;1011110000000;
remain;77;0.01357%;1011110000000;
future;77;0.01357%;1011110000000;
covered;77;0.01357%;1011110000000;
serfs;77;0.01357%;1011100000000;
deep;77;0.01357%;1011110000000;
simply;77;0.01357%;1011110000000;
getting;77;0.01357%;1011110000000;
fight;77;0.01357%;1011110000000;
poor;76;0.01339%;1011100000000;
person;76;0.01339%;1011100000000;
affair;76;0.01339%;1011100000000;
gentlemen;76;0.01339%;1011100000000;
cavalry;76;0.01339%;1011100000000;
condition;76;0.01339%;1011100000000;
involuntarily;76;0.01339%;1011100000000;
conception;76;0.01339%;1011100000000;
tea;75;0.01321%;1011010000000;
nearer;75;0.01321%;1011100000000;
thank;75;0.01321%;1011100000000;
evident;75;0.01321%;1011010000000;
story;75;0.01321%;1011010000000;
hearing;75;0.01321%;1011010000000;
battery;75;0.01321%;1011010000000;
law;75;0.01321%;1011010000000;
direction;74;0.01304%;1011010000000;
fall;74;0.01304%;1011010000000;
following;74;0.01304%;1011010000000;
ago;74;0.01304%;1011010000000;
lived;74;0.01304%;1011010000000;
desire;74;0.01304%;1011010000000;
suite;74;0.01304%;1011010000000;
means;73;0.01286%;1010110000000;
sofa;73;0.01286%;1010110000000;
matters;73;0.01286%;1010110000000;
paused;73;0.01286%;1010110000000;
sister;73;0.01286%;1010100000000;
married;73;0.01286%;1011010000000;
special;73;0.01286%;1010110000000;
glancing;73;0.01286%;1010110000000;
looks;73;0.01286%;1010110000000;
